Student_ID,Name,Email,Target,Application mode,Application order,Course,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Unemployment rate,Inflation rate,GDP,Performance_Ratio_avg,GPA_avg_scaled,Health_Risk_Proxy,Stress_Level_Proxy,Study_Hours_Proxy,Sleep_Quality_Proxy,Mental_Depression,Mental_Anxiety,Social_Media_Hours,Transport_User,Avg_Attendance,Teacher_Consultancy,StudentWorker,Living_With_Family
10035,Olivia Jackson,olivia.jackson@studentmail.com,Dropout,39,1,9119,133.1,34,37,0,0,128.8,0,1,1,0,43,7.6,2.6,0.32,0,0,2,5.01,24.03,2,1,0,5,0,46,0,0,1
10036,Isabella Martin,isabella.martin@college.org,Dropout,43,1,9147,140,37,37,6,6,122.9,0,1,0,0,55,16.2,0.3,-0.92,0.3,2.2,2,8.39,34.14,1,1,1,3,1,98,0,0,1
10037,Emma Jackson,emma.jackson@studentmail.com,Graduate,39,1,9991,120,19,19,9,3,113.9,0,1,0,0,39,7.6,2.6,0.32,1,2.26,2,3.73,32.99,3,1,1,7,1,98,0,0,1
10038,Lucas Smith,lucas.smith@studentmail.com,Dropout,44,1,9130,120,4,4,3,6,120,1,0,0,0,20,12.4,0.5,1.79,0.5,2.37,2,6.4,36.59,2,0,0,4,0,87,0,1,1
10039,Noah Brown,noah.brown@studentmail.com,Dropout,1,5,9773,126,3,3,2,2,121.1,1,1,0,0,18,12.7,3.7,-1.7,0.33,1.27,3,3.89,32.48,1,1,1,8,1,90,0,0,1
10040,Lucas Johnson,lucas.johnson@studentmail.com,Graduate,1,2,9147,133,3,19,2,7,120.4,0,1,0,0,22,8.9,1.4,3.51,1,3.06,2,1.61,35.9,2,1,1,1,1,87,0,0,1
10041,James Thomas,james.thomas@university.edu,Graduate,1,6,9500,103,1,3,2,2,100.6,0,1,0,0,22,11.1,0.6,2.02,0.79,2.83,1,5.01,19.37,2,1,1,3,1,70,0,0,1
10042,Liam Taylor,liam.taylor@studentmail.com,Dropout,17,1,9773,120,1,38,5,5,121.4,0,0,0,0,20,12.4,0.5,1.79,0.75,2.68,2,3.73,18.89,3,1,1,7,1,88,0,0,1
10043,Emma Johnson,emma.johnson@college.org,Dropout,39,1,9991,133.1,37,37,9,9,109.7,0,1,0,0,29,16.2,0.3,-0.92,0,0,2,1.56,20.72,3,1,1,2,1,89,0,1,1
10044,Liam Thomas,liam.thomas@college.org,Enrolled,17,1,9991,154,38,38,4,5,134.1,0,1,0,0,24,7.6,2.6,0.32,0.5,2.58,2,4.9,33.74,1,1,1,2,1,100,0,0,1
10045,Lucas Harris,lucas.harris@college.org,Graduate,17,2,9238,130,19,19,9,9,127.6,0,1,0,0,18,11.1,0.6,2.02,0.92,2.49,2,9.75,32.3,3,0,1,5,1,98,0,0,1
10046,Ava Johnson,ava.johnson@college.org,Graduate,17,6,9500,132,37,19,7,7,132.4,0,1,0,1,22,11.1,0.6,2.02,0.87,2.73,2,9.78,47.71,3,0,1,1,1,80,1,0,0
10047,Ethan White,ethan.white@university.edu,Graduate,44,1,8014,130,1,19,9,9,133.4,0,1,0,1,21,12.4,0.5,1.79,1,2.48,2,8.92,31.18,2,0,0,1,1,95,1,0,0
10048,Olivia Harris,olivia.harris@college.org,Graduate,1,1,9238,139,37,38,9,9,126.1,0,1,0,1,19,12.7,3.7,-1.7,0.92,2.52,3,8.38,39.51,3,0,0,1,1,82,1,0,0
10049,Isabella Anderson,isabella.anderson@college.org,Graduate,39,1,9254,130,19,38,9,7,113.5,0,1,0,1,24,12.4,0.5,1.79,1,2.78,3,5.1,29.97,3,1,0,2,1,100,1,0,0
10050,Isabella Thomas,isabella.thomas@university.edu,Enrolled,1,1,9500,139,37,38,6,6,121.3,0,1,0,1,19,9.4,-0.8,-3.12,0.75,2.37,2,4.84,23.11,3,0,1,2,1,90,1,1,0
10051,Emma Smith,emma.smith@university.edu,Enrolled,1,1,9773,127,1,19,7,7,121.8,0,1,0,1,20,9.4,-0.8,-3.12,0.58,2.5,2,9.2,37.16,3,0,0,3,1,100,1,0,0
10052,Olivia Johnson,olivia.johnson@studentmail.com,Graduate,1,3,9130,167,37,37,90,90,159.3,0,1,0,0,19,7.6,2.6,0.32,1,3.05,2,7.82,11.1,2,1,1,1,1,100,0,1,1
10053,Lucas Smith,lucas.smith@university.edu,Dropout,39,1,9991,130,38,38,9,9,120,0,1,0,0,27,9.4,-0.8,-3.12,1,2.16,1,3.7,36.35,3,1,1,6,1,79,0,1,1
10054,Sophia Jackson,sophia.jackson@college.org,Graduate,1,1,9500,130,1,19,5,5,129.1,0,1,0,0,18,15.5,2.8,-4.06,1,2.66,2,9.85,48.56,2,1,1,10,1,70,0,0,1
10055,Emma Martin,emma.martin@studentmail.com,Dropout,7,1,9254,130,1,3,4,3,130,0,1,0,0,39,12.4,0.5,1.79,0,0,2,7.59,37.21,3,1,1,1,1,86,0,1,1
10056,Emma Taylor,emma.taylor@studentmail.com,Dropout,39,1,9130,129,3,3,2,2,155.3,0,1,0,0,27,12.4,0.5,1.79,0.87,2.59,2,8.34,32.99,2,0,1,2,1,100,0,0,1
10057,Ethan Johnson,ethan.johnson@studentmail.com,Graduate,17,1,9500,141,38,38,7,10,139.8,0,1,0,0,18,9.4,-0.8,-3.12,1,2.99,2,5.04,38.27,3,1,1,2,1,98,0,0,1
10058,Ava Martin,ava.martin@studentmail.com,Graduate,1,2,9500,125,19,19,9,9,114.9,0,1,0,0,18,16.2,0.3,-0.92,0.87,2.54,1,7.18,29.13,3,0,1,6,1,90,0,0,1
10059,Lucas White,lucas.white@college.org,Graduate,44,1,9238,130,19,1,9,9,131.9,0,1,0,1,21,13.9,-0.3,0.79,1,2.4,2,6.9,32.8,3,0,1,4,1,60,1,0,0
10060,Lucas Anderson,lucas.anderson@university.edu,Enrolled,17,1,9070,127,1,1,3,4,130.2,0,1,1,0,19,10.8,1.4,1.74,0.5,2.14,1,4.31,33.94,2,1,0,2,0,95,1,1,0
10061,Ethan White,ethan.white@college.org,Enrolled,43,1,9070,116,1,1,3,3,120.9,0,1,1,0,24,12.7,3.7,-1.7,0,0,2,7.95,34.46,1,1,0,7,1,75,0,1,1
10062,Olivia Taylor,olivia.taylor@university.edu,Dropout,42,1,9500,133.1,1,1,5,5,126,0,1,1,0,29,13.9,-0.3,0.79,0.67,2.29,1,4.05,19.3,3,0,0,7,0,90,0,0,0
10063,Isabella White,isabella.white@studentmail.com,Graduate,44,1,9003,130,19,37,9,9,130,0,1,1,0,23,8.9,1.4,3.51,1,2.5,1,1.95,33.25,2,0,0,3,0,80,1,1,0
10064,Isabella Johnson,isabella.johnson@college.org,Dropout,1,3,9147,125,1,38,7,7,120.1,1,1,1,0,19,16.2,0.3,-0.92,0.9,2.19,2,4.49,39.74,2,0,0,4,0,100,0,1,0
10065,Emma Thomas,emma.thomas@college.org,Enrolled,39,1,9254,160,19,37,7,10,100,0,1,1,0,26,12.7,3.7,-1.7,0.92,2.28,1,2.22,46.61,2,0,0,6,0,100,1,1,0
10066,Isabella Taylor,isabella.taylor@college.org,Enrolled,17,1,9147,148,38,37,5,5,134,0,1,1,0,18,7.6,2.6,0.32,0,0,3,7.24,27.75,1,1,0,3,0,43,0,1,1
10067,James Thomas,james.thomas@studentmail.com,Graduate,17,1,9500,150,37,19,8,4,130.8,0,1,1,0,24,13.9,-0.3,0.79,1,2.57,1,2.58,25.16,2,0,0,1,0,50,1,0,0
10068,James Brown,james.brown@university.edu,Dropout,1,1,171,141,19,19,5,10,135.8,0,1,1,0,19,15.5,2.8,-4.06,0,0,2,3.79,12.77,1,0,0,1,0,100,0,1,1
10069,Sophia Thomas,sophia.thomas@studentmail.com,Dropout,17,4,9254,118,38,37,5,7,111.7,0,1,1,0,18,12.4,0.5,1.79,0.33,2.37,1,3.32,27.45,3,0,0,2,0,90,1,0,0
10070,James Taylor,james.taylor@university.edu,Graduate,1,2,9773,142,38,38,9,9,132.9,0,1,1,0,18,10.8,1.4,1.74,0.75,2.47,1,4.7,25,3,1,0,5,0,95,1,0,0
10071,Sophia Anderson,sophia.anderson@studentmail.com,Dropout,17,3,9147,120,19,19,4,7,115.5,1,1,1,0,18,10.8,1.4,1.74,0.6,2.12,1,1.65,25.05,3,0,0,3,0,100,0,1,0
10072,Noah Anderson,noah.anderson@college.org,Dropout,18,4,9254,106,19,37,7,7,106,0,1,1,1,21,9.4,-0.8,-3.12,0.42,2.15,2,7.46,36.82,3,0,0,2,1,80,1,0,0
10073,Liam Thomas,liam.thomas@studentmail.com,Graduate,17,4,9773,121,1,19,9,8,120.3,1,1,1,1,19,8.9,1.4,3.51,1,2.7,2,5,29.71,2,0,0,1,1,90,1,1,0
10074,Ava Thomas,ava.thomas@university.edu,Graduate,17,4,9500,150,38,37,9,9,130.8,0,1,1,1,22,16.2,0.3,-0.92,1,2.99,2,8.04,30.53,3,1,0,3,1,80,1,0,0
10075,Olivia Taylor,olivia.taylor@studentmail.com,Graduate,39,1,8014,120,37,37,9,6,117,0,1,1,0,33,10.8,1.4,1.74,1,2.37,1,1.48,35.97,3,0,0,2,0,100,1,0,0
10076,Emma White,emma.white@studentmail.com,Dropout,1,6,9853,114,19,19,9,9,110.2,0,1,1,0,20,10.8,1.4,1.74,0.83,2.44,1,1.48,38.17,3,0,0,4,0,87,1,0,0
10077,James Harris,james.harris@college.org,Dropout,39,1,9991,140,3,3,2,2,155.7,0,1,1,0,35,10.8,1.4,1.74,0,0,2,4.01,58.92,2,1,0,7,0,100,0,1,1
10078,Liam Brown,liam.brown@studentmail.com,Dropout,39,1,9003,160,3,3,4,2,180.4,1,1,1,0,24,12.4,0.5,1.79,0.67,2.55,1,1.57,31.02,3,0,0,5,0,85,1,1,0
10079,Isabella Taylor,isabella.taylor@studentmail.com,Enrolled,17,1,9254,120,19,19,4,4,125.5,0,1,1,0,18,12.7,3.7,-1.7,0.8,2.33,1,2.84,35.09,3,0,1,2,0,70,0,1,0
10080,Isabella Smith,isabella.smith@college.org,Graduate,39,1,8014,130,37,37,9,6,110,0,1,0,0,33,9.4,-0.8,-3.12,0.92,2.2,1,7.59,39.1,2,1,1,1,1,90,0,1,1
10081,Olivia Martin,olivia.martin@university.edu,Graduate,42,1,9500,160,37,38,9,7,161,0,1,0,1,22,10.8,1.4,1.74,0.88,2.62,2,7.81,27.51,3,0,0,2,1,98,1,0,0
10082,Noah Jackson,noah.jackson@college.org,Graduate,39,1,9670,120,1,19,4,5,100,0,1,0,1,25,9.4,-0.8,-3.12,0.9,2.21,2,4.27,26.83,3,0,0,4,1,100,1,0,0
10083,Sophia Martin,sophia.martin@studentmail.com,Graduate,17,1,9070,124,19,38,4,0,117.6,0,1,1,0,20,7.6,2.6,0.32,0.92,2.19,1,1.57,51.67,3,0,0,3,0,100,1,1,0
10084,Ava Harris,ava.harris@college.org,Enrolled,1,6,9147,143,38,37,9,9,128.7,0,1,1,0,23,11.1,0.6,2.02,0.9,2.78,1,1.94,32.79,3,1,0,7,0,80,0,1,0
10085,Sophia Martin,sophia.martin@college.org,Enrolled,43,2,9119,115,38,19,9,6,112.2,1,1,1,0,18,15.5,2.8,-4.06,0.2,1,2,2.08,24.03,2,1,0,5,0,50,0,1,1
10086,Liam Johnson,liam.johnson@college.org,Dropout,39,1,9500,133.1,1,1,4,10,100.8,0,1,1,0,24,13.9,-0.3,0.79,0,0,2,8.89,30.37,1,0,0,3,0,90,0,1,1
10087,Lucas Smith,lucas.smith@college.org,Graduate,17,2,9773,133.1,19,1,9,9,105,0,0,0,0,21,8.9,1.4,3.51,1,2.75,2,3.2,41.6,3,1,1,1,1,80,0,0,1
10088,Emma Martin,emma.martin@studentmail.com,Dropout,15,1,9130,133.1,1,1,4,4,100,0,1,0,0,26,8.9,1.4,3.51,0.17,1.2,1,6.37,22.51,3,0,1,4,1,90,0,1,1
10089,Ava Jackson,ava.jackson@university.edu,Dropout,39,1,9853,133.1,37,34,0,0,115.5,0,1,0,0,39,7.6,2.6,0.32,0.25,1.27,2,2.63,31.57,1,0,1,2,1,99,0,0,1
10090,Lucas Thomas,lucas.thomas@college.org,Graduate,39,1,8014,133.1,37,19,9,9,114,0,1,0,0,44,12.7,3.7,-1.7,1,2.42,2,8.81,46.86,3,1,1,1,1,60,0,0,1
10091,Ava Johnson,ava.johnson@university.edu,Enrolled,15,1,9119,130,38,3,9,2,137,0,1,1,0,19,13.9,-0.3,0.79,0.8,2.72,1,2.73,32.79,2,0,0,2,0,99,0,0,0
10092,Lucas Anderson,lucas.anderson@studentmail.com,Graduate,1,5,9773,135,37,1,5,5,124.9,0,1,0,0,18,8.9,1.4,3.51,1,2.7,3,6.82,27.4,2,1,1,2,1,100,0,1,1
10093,Ava Smith,ava.smith@university.edu,Graduate,1,5,9500,132,37,37,7,7,120.3,0,1,0,1,18,12.4,0.5,1.79,1,2.82,2,7.84,15.33,3,0,0,9,1,98,1,0,0
10094,Isabella White,isabella.white@college.org,Enrolled,1,1,9085,135,1,2,9,1,134.3,0,1,0,0,19,12.7,3.7,-1.7,1,2.8,1,4.25,34.14,3,0,1,2,1,100,0,1,1
10095,Sophia Brown,sophia.brown@university.edu,Dropout,1,4,9500,115,3,3,2,2,111.5,1,0,0,0,19,13.9,-0.3,0.79,0.29,1.2,3,2.29,36.5,2,0,0,3,0,70,0,1,1
10096,Liam Anderson,liam.anderson@studentmail.com,Dropout,53,1,9085,130,38,38,9,9,128.8,0,1,0,0,21,8.9,1.4,3.51,0.68,2.63,3,1.55,54.33,2,1,1,3,1,99,0,0,1
10097,Olivia Johnson,olivia.johnson@university.edu,Dropout,39,1,8014,130,37,37,6,5,113.5,0,1,0,0,36,9.4,-0.8,-3.12,0,0,1,8.22,28.29,3,1,1,2,1,99,0,0,1
10098,James Taylor,james.taylor@college.org,Graduate,39,1,9003,133.1,37,37,9,6,160,0,1,0,0,43,15.5,2.8,-4.06,1,2.89,2,8.77,35.19,2,1,1,3,1,95,0,0,1
10099,James Smith,james.smith@studentmail.com,Dropout,18,1,9853,123,19,19,9,7,117.4,0,1,0,0,19,11.1,0.6,2.02,0,0,2,6.19,33.63,2,0,1,16,1,97,0,0,1
10100,Isabella Martin,isabella.martin@studentmail.com,Graduate,51,1,9070,130,3,1,2,8,122.2,1,1,0,0,20,11.1,0.6,2.02,1,2.53,2,7.62,36.2,1,1,1,1,1,100,0,0,1
10101,Emma White,emma.white@university.edu,Dropout,1,2,9238,122,37,38,4,7,118.2,0,1,0,0,19,16.2,0.3,-0.92,0,0,2,4.19,41.46,2,1,1,4,1,100,0,0,1
10102,Isabella Jackson,isabella.jackson@university.edu,Dropout,1,1,9085,113,1,1,4,4,106.7,0,1,0,0,20,15.5,2.8,-4.06,0.67,2.74,3,9.36,53.83,3,1,1,8,1,100,0,0,1
10103,Emma Johnson,emma.johnson@college.org,Dropout,1,5,9500,111,3,4,4,3,108.2,0,1,0,0,20,12.4,0.5,1.79,0.79,2.56,3,2.57,24.28,2,1,1,3,1,98,0,0,1
10104,Isabella Brown,isabella.brown@studentmail.com,Enrolled,17,2,9853,133.1,19,1,9,3,107,0,1,0,0,20,16.2,0.3,-0.92,0.64,2.47,3,2.11,24.77,3,1,1,1,1,95,0,1,1
10105,Ava White,ava.white@university.edu,Graduate,1,1,9238,142,37,37,6,7,136.1,0,1,0,0,18,13.9,-0.3,0.79,1,2.89,2,5.43,32.48,2,1,1,2,1,86,0,0,1
10106,James White,james.white@college.org,Enrolled,17,2,9147,123,1,38,4,7,115.3,0,1,0,1,18,8.9,1.4,3.51,0.6,2.4,2,6.79,11.64,2,0,0,6,1,95,1,0,0
10107,Olivia Jackson,olivia.jackson@college.org,Graduate,1,1,9085,131,19,19,9,9,139.8,0,1,0,0,19,10.8,1.4,1.74,1,2.62,2,1.61,41.7,2,1,1,1,1,99,0,1,1
10108,Ava Martin,ava.martin@college.org,Graduate,1,3,9773,158,1,38,4,7,157,0,1,0,0,18,10.8,1.4,1.74,1,2.52,2,4.18,27.41,2,1,1,3,1,100,0,0,1
10109,Isabella Taylor,isabella.taylor@university.edu,Dropout,17,2,9500,122,37,37,9,9,131,0,1,0,0,18,7.6,2.6,0.32,0.86,2.5,1,7.86,36.2,2,0,1,1,1,100,0,0,1
10110,Noah Thomas,noah.thomas@college.org,Enrolled,43,1,9500,130,38,38,9,5,100,0,1,0,0,20,13.9,-0.3,0.79,0.93,2.46,2,1.59,32.99,3,1,1,5,1,90,0,0,1
10111,Ethan Anderson,ethan.anderson@studentmail.com,Enrolled,17,1,9238,154,19,37,9,7,140.4,0,1,0,1,20,7.6,2.6,0.32,0.5,2.08,2,9.35,33.06,2,0,1,1,1,95,1,0,0
10112,Ava Brown,ava.brown@studentmail.com,Enrolled,17,1,9147,120,19,19,3,3,113.4,0,1,0,0,20,12.4,0.5,1.79,0.6,2.1,2,6.24,13.84,3,1,1,3,1,98,0,1,1
10113,Isabella Jackson,isabella.jackson@studentmail.com,Graduate,1,2,9085,140,37,38,9,7,137,0,1,0,0,18,9.4,-0.8,-3.12,1,2.45,1,5.99,42.35,3,1,1,2,1,95,0,1,1
10114,Olivia Johnson,olivia.johnson@university.edu,Graduate,1,1,9147,127,2,19,4,5,121.8,0,1,0,0,18,11.1,0.6,2.02,1,2.66,2,8.6,47.3,2,1,1,1,1,90,0,0,1
10115,Sophia Brown,sophia.brown@studentmail.com,Dropout,17,1,9254,133.1,1,1,4,5,131,0,1,0,0,21,9.4,-0.8,-3.12,0.42,2.2,3,4.08,25.51,2,1,1,1,1,100,0,1,1
10116,Sophia Thomas,sophia.thomas@studentmail.com,Graduate,1,2,9147,120,19,19,9,7,118.6,0,1,0,0,19,16.2,0.3,-0.92,0.9,2.2,2,1.83,40.89,3,1,1,1,1,95,0,1,1
10117,Liam Brown,liam.brown@college.org,Dropout,1,1,171,137,3,19,2,9,122.3,0,1,0,0,19,10.8,1.4,1.74,0,0,3,8.2,44.72,2,1,1,2,1,99,0,0,1
10118,Isabella Harris,isabella.harris@college.org,Graduate,1,1,9670,131,38,38,9,9,127.9,0,1,0,1,19,9.4,-0.8,-3.12,1,2.7,2,6.22,44.3,3,0,0,2,1,100,1,1,0
10119,James Anderson,james.anderson@college.org,Graduate,1,1,9085,130,19,38,4,7,121.3,0,1,0,0,19,15.5,2.8,-4.06,1,2.64,2,6.02,32.81,1,1,1,4,1,90,0,0,1
10120,Ava Johnson,ava.johnson@university.edu,Dropout,17,6,9556,122,1,1,4,5,117.1,0,1,0,0,19,13.9,-0.3,0.79,0.36,1.21,2,5.02,28.22,2,1,1,3,1,100,0,1,1
10121,Sophia Harris,sophia.harris@college.org,Graduate,44,1,9085,160,37,37,9,9,160,0,1,0,0,20,12.4,0.5,1.79,0.92,2.79,2,6.03,31.26,2,1,1,1,1,97,0,1,1
10122,James Jackson,james.jackson@college.org,Enrolled,1,1,9853,146,19,38,9,3,145.3,0,1,0,1,18,9.4,-0.8,-3.12,0.83,2.62,2,3.04,25.66,3,1,0,1,1,85,1,0,0
10123,Olivia Taylor,olivia.taylor@university.edu,Graduate,17,3,9238,131,1,39,5,3,122.6,0,1,0,0,18,12.4,0.5,1.79,1,2.67,2,4.49,20.63,3,0,1,6,1,99,0,0,1
10124,Sophia White,sophia.white@college.org,Graduate,17,6,9500,132,1,37,8,9,128,0,1,0,0,19,12.4,0.5,1.79,1,2.85,2,6.75,27.67,2,1,1,3,1,80,0,0,1
10125,Liam Jackson,liam.jackson@university.edu,Dropout,1,3,9500,138,19,19,5,8,124.9,0,1,0,1,18,13.9,-0.3,0.79,0.94,2.7,3,7.36,25.23,3,0,1,2,1,95,1,0,0
